城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
威海市,2024,5.24776792526245,7375.356873414223,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2024,3.84929990768433,5409.911592184696,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2024,3.79987192153931,5340.444145730217,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2024,3.10392999649048,4362.3482898336715,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2024,3.51906204223633,4945.786244897784,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2024,6.47333192825317,9097.798113575316,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2024,3.59618210792541,5054.172898930255,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2024,5.33459186553955,7497.381618757279,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2024,4.08414316177368,5739.966738084889,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2024,3.70177602767944,5202.577487879314,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2024,5.16609001159668,7260.564494913445,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2024,3.49646806716919,4914.032053080919,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2024,3.29742002487183,4634.284478911266,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2024,6.66336584091187,9364.876982890795,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
